JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455365.8732,18.379,0.056,,R,HQA,,ensemble,,henden,"""ensemble, Sonoita 35cm""",0,,Z,,,2455365.8707,M31_V1,,STD,,,,
2455366.8652,18.022,0.074,,R,HQA,,ensemble,,henden,sonoita 35cm,0,,Z,,,2455366.8628,M31_V1,,STD,,,,
2455367.8634,18.069,0.068,,R,HQA,,ensemble,,henden,sonoita 35cm,0,,Z,,,,M31_V1,,STD,,,,
2455374.8878,18.326,0.073,,R,HQA,,ensemble,,henden,sonoita 35cm,0,,Z,,,2455374.8860,M31_V1,,STD,,,,
2455375.8807,18.536,0.113,,R,HQA,,ensemble,,henden,sonoita 35cm,0,,Z,,,2455375.8789,M31_V1,,STD,,,,
2455383.8597,18.656,0.094,,R,HQA,,ensemble,,Henden,Sonoita 35cm,0,,Z,,,2455383.8586,M31_V1,,STD,,,,
2455396.896412,18.5,0.2,,R,HBB,,16.3,15.9,2565DVR,,0,1.057,Z,12.0,11.7,,M31_V1,,STD,,,,
2455397.964363,18.784,0.020,,CV,GFB,,ENSEMBLE,157,2567SL,,0,1.060,Z,,15.729,,M31_V1,,STD,,,,
2455397.979236,18.186,0.017,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.037,Z,,15.731,,M31_V1,AAVSO,STD,,,,
2455398.967373,18.764,0.037,,CV,GFB,,ENSEMBLE,157,2567SL,,0,1.051,Z,,15.759,,M31_V1,AAVSO,STD,,,,
2455398.982280,18.275,0.016,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.030,Z,,15.705,,M31_V1,AAVSO,STD,,,,
2455399.983738,18.225,0.021,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.025,Z,,15.684,,M31_V1,AAVSO,STD,,,,
2455400.904039,18.936,0.053,,CV,GFB,,ENSEMBLE,157,2567SL,,0,1.199,Z,,15.756,,M31_V1,AAVSO,STD,,,,
2455400.918970,18.450,0.040,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.149,Z,,15.694,,M31_V1,AAVSO,STD,,,,
2455401.919757,18.474,0.036,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.138,Z,,15.720,,M31_V1,AAVSO,STD,,,,
2455402.886343,18.1,0.1,,R,HBB,,15.9,16.3,2569CIS,,0,1.046,Z,14.7,15.1,,M31_V1,,STD,,,,
2455402.920810,18.388,0.030,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.128,Z,,15.678,,M31_V1,AAVSO,STD,,,,
2455404.902662,18.609,0.033,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.166,Z,,15.678,,M31_V1,AAVSO,STD,,,,
2455405.879398,19.452,0.031,,CV,GFB,,ENSEMBLE,162,2567SL,,0,1.243,Z,,16.153,,M31_V1,AAVSO,STD,,,,
2455405.888426,18.376,0.055,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.206,Z,,15.700,,M31_V1,AAVSO,STD,,,,
2455406.889248,18.549,0.036,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.193,Z,,15.693,,M31_V1,AAVSO,STD,,,,
2455407.889873,18.435,0.017,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.181,Z,,15.710,,M31_V1,AAVSO,STD,,,,
2455408.890231,18.540,0.053,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.171,Z,,15.670,,M31_V1,AAVSO,STD,,,,
2455409.893322,18.453,0.031,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.152,Z,,15.715,,M31_V1,AAVSO,STD,,,,
2455411.893866,18.765,0.031,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.134,Z,,15.692,,M31_V1,AAVSO,STD,,,,
2455412.877697,18.786,0.030,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.176,Z,,15.707,,M31_V1,AAVSO,STD,,,,
2455413.910741,18.776,0.027,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.080,Z,,15.699,,M31_V1,AAVSO,STD,,,,
2455414.912268,18.874,0.023,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.071,Z,,15.691,,M31_V1,AAVSO,STD,,,,
2455415.6220,19.05,.054,,V,WGR,L,143,13.3,2565ald,Above is the average of a stack of 45 images with 2 minute exposures,0,,Z,14.272,13.321,,M31_V1,AAVSO,STD,,,,
2455415.963553,18.905,0.028,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.006,Z,,15.684,,M31_V1,AAVSO,STD,,,,
2455416.945556,18.916,0.024,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.017,Z,,15.710,,M31_V1,AAVSO,STD,,,,
2455417.947801,18.933,0.020,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.013,Z,,15.678,,M31_V1,AAVSO,STD,,,,
2455418.949155,19.035,0.026,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.010,Z,,15.711,,M31_V1,AAVSO,STD,,,,
2455420.936574,19.084,0.029,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.015,Z,,15.671,,M31_V1,AAVSO,STD,,,,
2455421.4641,20.07,0.14,,B,BGU,V,ensemble,,3722ksz,,0,,Z,,,,M31_V1,AAVSO,STD,1,,,
2455421.4641,19.31,0.09,,V,BGU,V,ensemble,,3722ksz,,0,,Z,,,,M31_V1,AAVSO,STD,1,,,
2455422.935197,19.165,0.091,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.012,Z,,15.694,,M31_V1,AAVSO,STD,,,,
2455424.972268,19.319,0.020,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.002,Z,,15.706,,M31_V1,AAVSO,STD,,,,
2455425.962083,19.305,0.054,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.001,Z,,15.661,,M31_V1,AAVSO,STD,,,,
2455426.959375,19.262,0.087,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.001,Z,,15.680,,M31_V1,AAVSO,STD,,,,
2455427.959572,18.881,0.020,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.001,Z,,15.697,,M31_V1,AAVSO,STD,,,,
2455428.958137,18.373,0.046,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.002,Z,,15.667,,M31_V1,AAVSO,STD,,,,
2455429.975336,18.314,0.012,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.010,Z,,15.697,,M31_V1,AAVSO,STD,,,,
2455430.8807,18.26,0.08,,CR,BHU,,000-BJV-796,000-BJV-800,3102S,,0,1.13,Z,15.63,16.24,,M31_V1,AAVSO,STD,,,,
2455430.948692,18.243,0.016,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.001,Z,,15.699,,M31_V1,AAVSO,STD,,,,
2455431.8583,18.32,0.07,,CR,BHU,,000-BJV-796,000-BJV-800,3102S,,0,1.15,Z,15.63,16.23,,M31_V1,AAVSO,STD,,,,
2455431.938669,18.369,0.020,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.001,Z,,15.686,,M31_V1,AAVSO,STD,,,,
2455433.8534,18.40,0.17,,CR,BHU,,000-BJV-796,000-BJV-800,3102S,,0,1.16,Z,15.63,16.23,,M31_V1,AAVSO,STD,,,,
2455436.891123,18.589,0.021,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.017,Z,,15.670,,M31_V1,AAVSO,STD,,,,
2455437.872488,18.649,0.024,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.034,Z,,15.723,,M31_V1,AAVSO,STD,,,,
2455439.852743,18.608,0.011,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.055,Z,,15.701,,M31_V1,AAVSO,STD,,,,
2455439.8695,18.74,0.13,,CR,BHU,,000-BJV-796,000-BJV-800,3102S,,0,1.10,Z,15.63,16.24,,M31_V1,AAVSO,STD,,,,
2455440.848646,18.567,0.022,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.058,Z,,15.696,,M31_V1,AAVSO,STD,,,,
2455440.8636,18.64,0.11,,CR,BHU,,000-BJV-796,000-BJV-800,3102S,,0,1.11,Z,15.63,16.24,,M31_V1,AAVSO,STD,,,,
2455441.78432,18.799,.034,,R,CTX,,000-BJV-800,000-BJV-792,2766eyh,,0,1.242,Z,16.672,14.744,,M31_V1,AAVSO,STD,,,,
2455441.843090,18.656,0.016,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.063,Z,,15.692,,M31_V1,AAVSO,STD,,,,
2455442.69504,18.6359,0.0649,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455443.74381,18.815,0.248,,R,SSTB,,000-BJV-794,000-BJV-795,3218BQR,,0,1.453,Z,15.411,15.573,,M31_V1,,STD,,,,
2455443.82784,18.8541,0.0501,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455443.8625,18.95,0.10,,CR,BHU,,000-BJV-796,000-BJV-800,3102S,,0,1.11,Z,15.63,16.24,,M31_V1,AAVSO,STD,,,,
2455444.68951,18.8484,0.1110,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455444.8815,19.04,0.12,,CR,BHU,,000-BJV-796,000-BJV-800,3102S,,0,1.06,Z,15.63,16.24,,M31_V1,AAVSO,STD,,,,
2455445.68850,18.7460,0.1321,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455446.886042,19.345,0.031,,V,GFB,,ENSEMBLE,162,2567SL,,0,1.003,Z,,16.231,,M31_V1,AAVSO,STD,,,,
2455447.828831,18.884,0.045,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.059,Z,,15.685,,M31_V1,AAVSO,STD,,,,
2455447.903542,19.455,0.016,,V,GFB,,ENSEMBLE,162,2567SL,,0,1.001,Z,,16.235,,M31_V1,AAVSO,STD,,,,
2455448.78431,18.9541,0.0474,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455449.68299,19.0474,0.0653,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455449.79731,18.723,0.159,,R,SSTB,,000-BJV-794,000-BJV-795,3218BQR,,0,1.132,Z,15.393,15.495,,M31_V1,,STD,,,,
2455449.8579,19.29,0.20,,CR,BHU,,000-BJV-796,000-BJV-800,3102S,,0,1.10,Z,15.63,16.25,,M31_V1,AAVSO,STD,,,,
2455449.859340,19.438,0.027,,V,GFB,,ENSEMBLE,162,2567SL,,0,1.014,Z,,16.206,,M31_V1,AAVSO,STD,,,,
2455449.865856,18.998,0.061,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.009,Z,,15.712,,M31_V1,AAVSO,STD,,,,
2455450.76062,19.0627,0.0532,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455450.78442,18.8925,0.0494,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455450.79645,18.839,0.157,,R,SSTB,,000-BJV-794,000-BJV-795,3218BQR,,0,1.127,Z,15.379,15.512,,M31_V1,,STD,,,,
2455450.847014,19.018,0.016,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.022,Z,,15.683,,M31_V1,AAVSO,STD,,,,
2455450.851,19.70,.25,,V,WGR,,143,133,2565ald,,0,,Z,14.272,13.298,,M31_V1,AAVSO,STD,,,,
2455450.851,18.39,.13,,R,WGR,,143,133,2565ald,,0,,Z,13.890,13.09,,M31_V1,AAVSO,STD,,,,
2455450.914213,19.417,0.025,,V,GFB,,ENSEMBLE,162,2567SL,,0,1.008,Z,,16.209,,M31_V1,AAVSO,STD,,,,
2455451.7206,19.15,0.21,,CR,BHU,,000-BJV-796,000-BJV-800,3102S,,0,1.40,Z,15.63,16.22,,M31_V1,AAVSO,STD,,,,
2455451.7573,19.67,.47,,V,WGR,,163,157,2565ald,,0,,Z,16.285,15.563,,M31_V1,AAVSO,STD,,,,
2455451.7618,18.739,.99,,R,WGR,,163,157,2565ald,,0,,Z,15.788,15.228,,M31_V1,AAVSO,STD,,,,
2455451.824363,19.290,0.291,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.048,Z,,14.165,,M31_V1,AAVSO,STD,,,,
2455451.891366,19.464,0.009,,V,GFB,,ENSEMBLE,162,2567SL,,0,1.001,Z,,16.185,,M31_V1,AAVSO,STD,,,,
2455452.74221,18.764,0.224,,R,SSTB,,000-BJV-794,000-BJV-795,3218BQR,,0,1.315,Z,15.399,15.586,,M31_V1,,STD,,,,
2455452.8601,19.25,0.16,,CR,BHU,,000-BJV-796,000-BJV-800,3102S,,0,1.06,Z,15.63,16.25,,M31_V1,AAVSO,STD,,,,
2455453.841481,19.143,0.012,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.020,Z,,15.679,,M31_V1,AAVSO,STD,,,,
2455453.909213,19.764,0.034,,V,GFB,,ENSEMBLE,162,2567SL,,0,1.010,Z,,16.192,,M31_V1,AAVSO,STD,,,,
2455454.7260,19.42,0.18,,CR,BHU,,000-BJV-796,000-BJV-800,3102S,,0,1.32,Z,15.63,16.22,,M31_V1,AAVSO,STD,,,,
2455454.77031,18.941,0.203,,R,SSTB,,000-BJV-794,000-BJV-795,3218BQR,,0,1.174,Z,15.357,15.505,,M31_V1,,STD,,,,
2455454.828310,19.287,0.013,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.031,Z,,15.678,,M31_V1,AAVSO,STD,,,,
2455454.87257,19.1669,0.0745,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455454.895961,19.670,0.034,,V,GFB,,ENSEMBLE,162,2567SL,,0,1.004,Z,,16.202,,M31_V1,AAVSO,STD,,,,
2455455.75935,19.137,0.301,,R,SSTB,,000-BJV-794,000-BJV-795,3218BQR,,0,1.203,Z,15.449,15.650,,M31_V1,,STD,,,,
2455455.838495,19.459,0.025,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.018,Z,,15.689,,M31_V1,AAVSO,STD,,,,
2455455.87185,19.1543,0.0736,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455455.900243,19.678,0.042,,V,GFB,,ENSEMBLE,162,2567SL,,0,1.008,Z,,16.201,,M31_V1,AAVSO,STD,,,,
2455455.9565,19.57,0.24,,CR,BHU,,000-BJV-796,000-BJV-800,3102S,,0,1.14,Z,15.63,16.22,,M31_V1,AAVSO,STD,,,,
2455456.77614,19.185,0.290,,R,SSTB,,000-BJV-794,000-BJV-795,3218BQR,,0,1.138,Z,15.357,15.542,,M31_V1,,STD,,,,
2455456.86848,19.1557,0.0863,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455457.73458,19.2564,0.0958,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455458.803796,19.219,0.015,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.050,Z,,15.686,,M31_V1,AAVSO,STD,,,,
2455458.850660,19.059,0.027,,V,GFB,,ENSEMBLE,162,2567SL,,0,1.004,Z,,16.193,,M31_V1,AAVSO,STD,,,,
2455458.86285,18.9071,0.0588,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455459.86256,18.5716,0.0521,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455459.9483,18.66,0.14,,CR,BHU,,000-BJV-796,000-BJV-800,3102S,,0,1.14,Z,15.63,16.18,,M31_V1,AAVSO,STD,,,,
2455460.78443,18.138,0.176,,R,SSTB,,000-BJV-794,000-BJV-795,3218BQR,,0,1.089,Z,15.225,15.401,,M31_V1,,STD,,,,
2455460.815324,18.213,0.008,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.027,Z,,15.676,,M31_V1,AAVSO,STD,,,,
2455460.893438,18.557,0.025,,V,GFB,,ENSEMBLE,162,2567SL,,0,1.012,Z,,16.194,,M31_V1,AAVSO,STD,,,,
2455461.7539,18.274,.41,,R,WGR,,163,157,2565ald,,0,,Z,15.788,15.250,,M31_V1,AAVSO,STD,,,,
2455462.808657,18.204,0.016,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.029,Z,,15.671,,M31_V1,CBA,STD,,,,
2455462.81166,18.027,0.273,,R,SSTB,,000-BJV-794,000-BJV-795,3218BQR,,0,1.033,Z,15.305,15.495,,M31_V1,,STD,,,,
2455462.887026,18.638,0.015,,V,GFB,,ENSEMBLE,162,2567SL,,0,1.012,Z,,16.227,,M31_V1,CBA,STD,,,,
2455463.80319,18.2549,0.0735,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455463.82945,18.2410,0.0593,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455464.798414,18.489,0.024,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.034,Z,,15.686,,M31_V1,CBA,STD,,,,
2455464.85491,18.2677,0.0508,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455464.876713,18.759,0.039,,V,GFB,,ENSEMBLE,162,2567SL,,0,1.008,Z,,16.211,,M31_V1,CBA,STD,,,,
2455465.802349,18.600,0.023,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.026,Z,,15.669,,M31_V1,CBA,STD,,,,
2455465.880660,18.917,0.041,,V,GFB,,ENSEMBLE,162,2567SL,,0,1.013,Z,,16.206,,M31_V1,CBA,STD,,,,
2455466.810428,18.549,0.015,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.016,Z,,15.675,,M31_V1,CBA,STD,,,,
2455467.72908,18.364,0.159,,R,SSTB,,000-BJV-794,000-BJV-795,3218BQR,,0,1.194,Z,15.419,15.616,,M31_V1,,STD,,,,
2455467.797477,18.552,0.021,,R,GFB,,ENSEMBLE,162,2567SL,,0,1.026,Z,,15.678,,M31_V1,CBA,STD,,,,
2455467.875972,18.860,0.030,,V,GFB,,ENSEMBLE,162,2567SL,,0,1.013,Z,,16.177,,M31_V1,CBA,STD,,,,
2455468.69260,18.361,0.131,,R,SSTB,,000-BJV-794,000-BJV-795,3218BQR,,0,1.347,Z,15.413,15.605,,M31_V1,,STD,,,,
2455468.773368,18.624,0.020,,R,GFB,,ENSEMBLE,162,2567SL,8-10MIN STACK,0,1.056,Z,,15.669,,M31_V1,CBA,STD,,,,
2455468.84186,18.3606,0.0696,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455468.844838,19.003,0.033,,V,GFB,,ENSEMBLE,162,2567SL,10-10MINUTE STACK,0,1.001,Z,,16.193,,M31_V1,CBA,STD,,,,
2455469.70457,18.5379,0.0363,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455469.74486,18.405,0.127,,R,SSTB,,000-BJV-794,000-BJV-795,3218BQR,,0,1.126,Z,15.372,15.551,,M31_V1,,STD,,,,
2455469.76155,18.5893,0.0658,,R,HQA,,ENSEMBLE,,,,0,1.000,Z,,,,M31_V1,,STD,,,,
2455469.787963,18.547,0.020,,R,GFB,,ENSEMBLE,162,2567SL,8-10MIN STACK,0,1.030,Z,,15.684,,M31_V1,CBA,STD,,,,
