pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,sy_dist,sy_disterr1,sy_disterr2
NSVS 14256825 b,NSVS 14256825,1,2,1,Eclipse Timing Variations,2019,Multiple Observatories,Published Confirmed,<a refstr=ZHU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19..134Z/abstract target=ref>Zhu et al. 2019</a>,3225.0,22.0,-22.0,0.0,,,,,,,,,4497.2945,50.8528,-50.8528,0.0,0.12,0.02,-0.02,0.0,<a refstr=ZHU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19..134Z/abstract target=ref>Zhu et al. 2019</a>,,40000.0,,,0.0,0.19,0.01,-0.01,0.0,0.42,0.07,-0.07,0.0,,,,,,820.877,41.457,-41.457
NY Vir c,NY Vir,1,2,2,Eclipse Timing Variations,2019,Winer Observatory,Published Confirmed,<a refstr=SONG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..184S/abstract target=ref>Song et al. 2019</a>,8799.0,240.0,-240.0,0.0,,,,,,,,,1760.7782,63.566,-63.566,0.0,0.15,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,32780.0,200.0,-200.0,0.0,0.15,0.0,0.0,0.0,0.46,0.01,-0.01,0.0,,,,,,544.024,18.8765,-18.8765
NY Vir b,NY Vir,1,2,2,Eclipse Timing Variations,2011,Multiple Observatories,Published Confirmed,<a refstr=SONG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..184S/abstract target=ref>Song et al. 2019</a>,3160.0,62.0,-62.0,0.0,,,,,,,,,845.4278,82.6358,-82.6358,0.0,0.15,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,32780.0,200.0,-200.0,0.0,0.15,0.0,0.0,0.0,0.46,0.01,-0.01,0.0,,,,,,544.024,18.8765,-18.8765
Kepler-451 d,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2022,Multiple Observatories,Published Confirmed,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,43.0,0.1,-0.1,0.0,,,,,,,,,559.378,57.20911,-57.20911,0.0,0.0,,,0.0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564.0,,,0.0,0.2,0.0,0.0,0.0,0.48,,,0.0,,,,,,396.332,6.3885,-6.3885
Kepler-451 c,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2022,Multiple Observatories,Published Confirmed,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,1460.0,90.0,-90.0,0.0,,,,,,,,,511.70374,44.49598,-44.49598,0.0,0.29,0.07,-0.07,0.0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564.0,,,0.0,0.2,0.0,0.0,0.0,0.48,,,0.0,,,,,,396.332,6.3885,-6.3885
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2015,Kepler,Published Confirmed,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,406.0,4.0,-4.0,0.0,,,,,,,,,591.16084,15.89142,-15.89142,0.0,0.33,0.05,-0.05,0.0,<a refstr=ESMER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.5207E/abstract target=ref>Esmer et al. 2022</a>,,29564.0,,,0.0,0.2,0.0,0.0,0.0,0.48,,,0.0,,,,,,396.332,6.3885,-6.3885
V0391 Peg b,V0391 Peg,1,1,1,Pulsation Timing Variations,2007,Multiple Observatories,Published Confirmed,<a refstr=SILVOTTI_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007Natur.449..189S/abstract target=ref> Silvotti et al. 2007 </a>,1170.0,44.0,-44.0,0.0,,,,,,,,,1017.056,222.481,-222.481,0.0,0.0,,,0.0,<a refstr=SILVOTTI_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007Natur.449..189S/abstract target=ref> Silvotti et al. 2007 </a>,,29300.0,500.0,-500.0,0.0,0.23,0.03,-0.03,0.0,0.5,0.05,-0.05,0.0,,,,,,1195.98,78.465,-78.465
KOI-55 c,KOI-55,1,1,2,Orbital Brightness Modulation,2011,Kepler,Published Confirmed,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,0.342887,1.3e-05,-1.3e-05,0.0,0.867,,,0.0,0.655,,,0.0,0.655,,,0.0,,,,,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,B,27730.0,270.0,-270.0,0.0,0.2,0.01,-0.01,0.0,0.5,0.0,0.0,0.0,,,,,,1231.02,48.015,-48.015
KOI-55 b,KOI-55,1,1,2,Orbital Brightness Modulation,2011,Kepler,Published Confirmed,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,0.240104,4e-06,-4e-06,0.0,0.759,,,0.0,0.44,,,0.0,0.44,,,0.0,,,,,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,B,27730.0,270.0,-270.0,0.0,0.2,0.01,-0.01,0.0,0.5,0.0,0.0,0.0,,,,,,1231.02,48.015,-48.015
KIC 10001893 d,KIC 10001893,1,1,3,Orbital Brightness Modulation,2014,Kepler,Published Confirmed,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,0.81161,,,0.0,,,,,,,,,,,,,,,,,<a refstr=SILVOTTI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A.130S/abstract target=ref>Silvotti et al. 2014</a>,,27500.0,200.0,-500.0,0.0,,,,,,,,,,,,,,1672.94,149.7,-149.7
